"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","EN14825_004","-10","4","3","0","2","0"
"1","EN14825_004","-10","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","3.72","4","3","0","2","0"
"1","EN14825_008","3.54","5","3","0","2","0"
"1","EN14825_009","3.51","4","3","0","2","0"
"1","EN14825_009","2.45","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","2.26","4","3","0","2","0"
"1","EN14825_010","2.15","5","3","0","2","0"
"1","EN14825_011","5.25","4","3","0","2","0"
"1","EN14825_011","3.98","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","1.52","4","3","0","2","0"
"1","EN14825_012","1.45","5","3","0","2","0"
"1","EN14825_013","6.81","4","3","0","2","0"
"1","EN14825_013","5.29","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","1.81","4","3","0","2","0"
"1","EN14825_014","1.75","5","3","0","2","0"
"1","EN14825_015","9.14","4","3","0","2","0"
"1","EN14825_015","7.16","5","3","0","2","0"
"1","EN14825_050","0.953","4","3","0","2","0"
"1","EN14825_050","0.957","5","3","0","2","0"
"1","EN14825_016","4.20","4","3","0","2","0"
"1","EN14825_016","4.00","5","3","0","2","0"
"1","EN14825_017","3.02","4","3","0","2","0"
"1","EN14825_017","2.15","5","3","0","2","0"
"1","EN14825_018","4.20","4","3","0","2","0"
"1","EN14825_018","4.00","5","3","0","2","0"
"1","EN14825_019","3.02","4","3","0","2","0"
"1","EN14825_019","2.15","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","75","4","3","0","2","0"
"1","EN14825_022","75","5","3","0","2","0"
"1","EN14825_023","15","4","3","0","2","0"
"1","EN14825_023","16","5","3","0","2","0"
"1","EN14825_024","15","4","3","0","2","0"
"1","EN14825_024","16","5","3","0","2","0"
"1","EN14825_025","15","4","3","0","2","0"
"1","EN14825_025","16","5","3","0","2","0"
"1","EN14825_026","0","4","3","0","2","0"
"1","EN14825_026","0","5","3","0","2","0"
"1","EN14825_027","0","4","3","0","2","0"
"1","EN14825_027","0","5","3","0","2","0"
"1","EN14825_028","0.00","4","3","0","2","0"
"1","EN14825_028","0.00","5","3","0","2","0"
"1","EN14825_029","1613","4","3","0","2","0"
"1","EN14825_029","2040","5","3","0","2","0"
"1","title","Acond Grandis-PN","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","0","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","4.10","4","10","0","2","0"
"1","EN14511_2_001","4.20","5","10","0","2","0"
"1","EN14511_2_002","0.76","4","10","0","2","0"
"1","EN14511_2_002","1.32","5","10","0","2","0"
"1","EN14511_2_003","5.41","4","10","0","2","0"
"1","EN14511_2_003","3.18","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_001","0","4","3","0","2","0"
"1","EN12102_1_001","0","5","3","0","2","0"
"1","EN12102_1_002","0","4","3","0","2","0"
"1","EN12102_1_002","46","5","3","0","2","0"
"1","EN14825_001","197","4","3","0","2","0"
"1","EN14825_001","137","5","3","0","2","0"
"1","EN14825_002","6.00","4","3","0","2","0"
"1","EN14825_002","5.70","5","3","0","2","0"
"1","EN14825_003","4.99","4","3","0","2","0"
"1","EN14825_003","3.50","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","5.31","4","3","0","2","0"
"1","EN14825_008","5.04","5","3","0","2","0"
"1","EN14825_009","2.90","4","3","0","2","0"
"1","EN14825_009","1.90","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","3.23","4","3","0","2","0"
"1","EN14825_010","3.07","5","3","0","2","0"
"1","EN14825_011","4.70","4","3","0","2","0"
"1","EN14825_011","3.30","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","2.08","4","3","0","2","0"
"1","EN14825_012","1.97","5","3","0","2","0"
"1","EN14825_013","7.30","4","3","0","2","0"
"1","EN14825_013","5.29","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","1.81","4","3","0","2","0"
"1","EN14825_014","1.75","5","3","0","2","0"
"1","EN14825_015","9.14","4","3","0","2","0"
"1","EN14825_015","7.16","5","3","0","2","0"
"1","EN14825_050","0.953","4","3","0","2","0"
"1","EN14825_050","0.957","5","3","0","2","0"
"1","EN14825_016","5.31","4","3","0","2","0"
"1","EN14825_016","5.04","5","3","0","2","0"
"1","EN14825_017","2.90","4","3","0","2","0"
"1","EN14825_017","1.90","5","3","0","2","0"
"1","EN14825_018","5.50","4","3","0","2","0"
"1","EN14825_018","4.45","5","3","0","2","0"
"1","EN14825_019","2.90","4","3","0","2","0"
"1","EN14825_019","1.80","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","75","4","3","0","2","0"
"1","EN14825_022","75","5","3","0","2","0"
"1","EN14825_023","15","4","3","0","2","0"
"1","EN14825_023","16","5","3","0","2","0"
"1","EN14825_024","15","4","3","0","2","0"
"1","EN14825_024","16","5","3","0","2","0"
"1","EN14825_025","15","4","3","0","2","0"
"1","EN14825_025","16","5","3","0","2","0"
"1","EN14825_026","0","4","3","0","2","0"
"1","EN14825_026","0","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.50","4","3","0","2","0"
"1","EN14825_028","1.25","5","3","0","2","0"
"1","EN14825_029","2479","4","3","0","2","0"
"1","EN14825_029","3363","5","3","0","2","0"
"","title","Acond Grandis-PN SP","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","4.10","4","10","0","2","0"
"","EN14511_2_001","4.20","5","10","0","2","0"
"","EN14511_2_002","0.76","4","10","0","2","0"
"","EN14511_2_002","1.32","5","10","0","2","0"
"","EN14511_2_003","5.41","4","10","0","2","0"
"","EN14511_2_003","3.18","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","0","4","3","0","2","0"
"","EN12102_1_001","0","5","3","0","2","0"
"","EN12102_1_002","0","4","3","0","2","0"
"","EN12102_1_002","46","5","3","0","2","0"
"","EN14825_001","197","4","3","0","2","0"
"","EN14825_001","137","5","3","0","2","0"
"","EN14825_002","6.00","4","3","0","2","0"
"","EN14825_002","5.70","5","3","0","2","0"
"","EN14825_003","4.99","4","3","0","2","0"
"","EN14825_003","3.50","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","5.31","4","3","0","2","0"
"","EN14825_008","5.04","5","3","0","2","0"
"","EN14825_009","2.90","4","3","0","2","0"
"","EN14825_009","1.90","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","3.23","4","3","0","2","0"
"","EN14825_010","3.07","5","3","0","2","0"
"","EN14825_011","4.70","4","3","0","2","0"
"","EN14825_011","3.30","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","2.08","4","3","0","2","0"
"","EN14825_012","1.97","5","3","0","2","0"
"","EN14825_013","7.30","4","3","0","2","0"
"","EN14825_013","5.29","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","1.81","4","3","0","2","0"
"","EN14825_014","1.75","5","3","0","2","0"
"","EN14825_015","9.14","4","3","0","2","0"
"","EN14825_015","7.16","5","3","0","2","0"
"","EN14825_050","0.953","4","3","0","2","0"
"","EN14825_050","0.957","5","3","0","2","0"
"","EN14825_016","5.31","4","3","0","2","0"
"","EN14825_016","5.04","5","3","0","2","0"
"","EN14825_017","2.90","4","3","0","2","0"
"","EN14825_017","1.90","5","3","0","2","0"
"","EN14825_018","5.50","4","3","0","2","0"
"","EN14825_018","4.45","5","3","0","2","0"
"","EN14825_019","2.90","4","3","0","2","0"
"","EN14825_019","1.80","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","15","4","3","0","2","0"
"","EN14825_023","16","5","3","0","2","0"
"","EN14825_024","15","4","3","0","2","0"
"","EN14825_024","16","5","3","0","2","0"
"","EN14825_025","15","4","3","0","2","0"
"","EN14825_025","16","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.50","4","3","0","2","0"
"","EN14825_028","1.25","5","3","0","2","0"
"","EN14825_029","2479","4","3","0","2","0"
"","EN14825_029","3363","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","0,650 kg","0","0","0","0"
"","Date","07.12.2022","0","0","0","0"
"","Manufacturer"," Acond a.s.","0","0","0","0"
"","Modelname","Acond Grandis-N","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
