"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","NOVELAN SE MO-AW 14 1P","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","16.05","4","10","0","2","0"
"1","EN14511_2_001","15.40","5","10","0","2","0"
"1","EN14511_2_002","3.73","4","10","0","2","0"
"1","EN14511_2_002","5.27","5","10","0","2","0"
"1","EN14511_2_003","4.30","4","10","0","2","0"
"1","EN14511_2_003","2.92","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","52","4","3","0","2","0"
"1","EN12102_1_002","51","5","3","0","2","0"
"1","EN14825_001","203","4","3","0","2","0"
"1","EN14825_001","156","5","3","0","2","0"
"1","EN14825_002","13.50","4","3","0","2","0"
"1","EN14825_002","12.50","5","3","0","2","0"
"1","EN14825_003","5.15","4","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
