"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"53513/2","EN14825_028","0.00","5","1","0","2","0"
"53513/2","EN14825_028","0.00","4","2","0","2","0"
"53513/2","EN14825_028","0.00","5","2","0","2","0"
"53513/2","EN14825_028","0.00","4","3","0","2","0"
"53513/2","EN14825_028","0.00","5","3","0","2","0"
"53513/2","EN14825_029","14086","4","1","0","2","0"
"53513/2","EN14825_029","17608","5","1","0","2","0"
"53513/2","EN14825_029","25405","4","2","0","2","0"
"53513/2","EN14825_029","31580","5","2","0","2","0"
"53513/2","EN14825_029","22265","4","3","0","2","0"
"53513/2","EN14825_029","27647","5","3","0","2","0"
"53511/2","title","ecoGEO+ HP1 400 15-60 HTR","0","0","0","1","0"
"53511/2","application","2","0","0","0","1","0"
"53511/2","indoor","1","0","0","0","1","0"
"53511/2","outdoor","0","0","0","0","1","0"
"53511/2","coolingMode7c12c","0","0","0","0","1","0"
"53511/2","coolingMode18c23c","0","0","0","0","1","0"
"53511/2","colderClimate","1","0","0","0","1","0"
"53511/2","warmerClimate","1","0","0","0","1","0"
"53511/2","reversibility","0","0","0","0","1","0"
"53511/2","colderForHeating","1","0","0","0","1","0"
"53511/2","warmerForHeating","1","0","0","0","1","0"
"53511/2","en145112Certification","1","0","0","0","1","0"
"53511/2","heatSource","4","0","0","0","1","0"
"53511/2","additionalOutdoorAir","0","0","0","0","1","0"
"53511/2","additionalExhaustAir","0","0","0","0","1","0"
"53511/2","additionalIndoorAir","0","0","0","0","1","0"
"53511/2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"53511/2","powerSupply","3","0","0","0","1","0"
"53511/2","offPeakProduct","0","0","0","0","1","0"
"53511/2","EN14511_2_001","22.39","4","10","0","2","0"
"53511/2","EN14511_2_001","25.93","5","10","0","2","0"
"53511/2","EN14511_2_002","5.02","4","10","0","2","0"
"53511/2","EN14511_2_002","9.50","5","10","0","2","0"
"53511/2","EN14511_2_003","4.46","4","10","0","2","0"
"53511/2","EN14511_2_003","2.73","5","10","0","2","0"
"53511/2","EN14511_4_003","2","0","10","0","2","0"
"53511/2","EN14511_4_004","2","0","10","0","2","0"
"53511/2","EN14511_4_005","2","0","10","0","2","0"
"53511/2","EN14511_4_006","2","0","10","0","2","0"
"53511/2","EN12102_1_001","62","4","1","0","2","0"
"53511/2","EN12102_1_001","62","5","1","0","2","0"
"53511/2","EN12102_1_001","62","4","2","0","2","0"
"53511/2","EN12102_1_001","62","5","2","0","2","0"
"53511/2","EN12102_1_001","62","4","3","0","2","0"
"53511/2","EN12102_1_001","62","5","3","0","2","0"
"53511/2","EN14825_043","55.00","4","1","0","2","0"
"53511/2","EN14825_043","51.00","5","1","0","2","0"
"53511/2","EN14825_043","55.00","4","2","0","2","0"
"53511/2","EN14825_043","51.00","5","2","0","2","0"
"53511/2","EN14825_043","55.00","4","3","0","2","0"
"53511/2","EN14825_043","51.00","5","3","0","2","0"
"53511/2","EN14825_001","201","4","1","0","2","0"
"53511/2","EN14825_001","147","5","1","0","2","0"
"53511/2","EN14825_001","205","4","2","0","2","0"
"53511/2","EN14825_001","151","5","2","0","2","0"
"53511/2","EN14825_001","196","4","3","0","2","0"
"53511/2","EN14825_001","144","5","3","0","2","0"
"53511/2","EN14825_002","55.00","4","1","0","2","0"
"53511/2","EN14825_002","51.00","5","1","0","2","0"
"53511/2","EN14825_002","55.00","4","2","0","2","0"
"53511/2","EN14825_002","51.00","5","2","0","2","0"
"53511/2","EN14825_002","55.00","4","3","0","2","0"
"53511/2","EN14825_002","51.00","5","3","0","2","0"
"53511/2","EN14825_003","5.26","4","1","0","2","0"
"53511/2","EN14825_003","3.89","5","1","0","2","0"
"53511/2","EN14825_003","5.35","4","2","0","2","0"
"53511/2","EN14825_003","3.99","5","2","0","2","0"
"53511/2","EN14825_003","5.12","4","3","0","2","0"
"53511/2","EN14825_003","3.82","5","3","0","2","0"
"53511/2","EN14825_004","2","4","1","0","2","0"
"53511/2","EN14825_004","2","5","1","0","2","0"
"53511/2","EN14825_004","-22","4","2","0","2","0"
"53511/2","EN14825_004","-22","5","2","0","2","0"
"53511/2","EN14825_004","-10","4","3","0","2","0"
"53511/2","EN14825_004","-10","5","3","0","2","0"
"53511/2","EN14825_005","2","4","1","0","2","0"
"53511/2","EN14825_005","2","5","1","0","2","0"
"53511/2","EN14825_005","-22","4","2","0","2","0"
"53511/2","EN14825_005","-22","5","2","0","2","0"
"53511/2","EN14825_005","-10","4","3","0","2","0"
"53511/2","EN14825_005","-10","5","3","0","2","0"
"53511/2","EN14825_008","32.46","4","2","0","2","0"
"53511/2","EN14825_008","30.12","5","2","0","2","0"
"53511/2","EN14825_008","47.55","4","3","0","2","0"
"53511/2","EN14825_008","44.46","5","3","0","2","0"
"53511/2","EN14825_009","4.92","4","2","0","2","0"
"53511/2","EN14825_009","3.52","5","2","0","2","0"
"53511/2","EN14825_009","3.97","4","3","0","2","0"
"53511/2","EN14825_009","2.73","5","3","0","2","0"
"53511/2","EN14825_047","0.900","4","2","0","2","0"
"53511/2","EN14825_047","0.900","5","2","0","2","0"
"53511/2","EN14825_047","0.900","4","3","0","2","0"
"53511/2","EN14825_047","0.900","5","3","0","2","0"
"53511/2","EN14825_010","54.74","4","1","0","2","0"
"53511/2","EN14825_010","51.11","5","1","0","2","0"
"53511/2","EN14825_010","21.47","4","2","0","2","0"
"53511/2","EN14825_010","18.51","5","2","0","2","0"
"53511/2","EN14825_010","29.73","4","3","0","2","0"
"53511/2","EN14825_010","27.08","5","3","0","2","0"
"53511/2","EN14825_011","3.69","4","1","0","2","0"
"53511/2","EN14825_011","2.50","5","1","0","2","0"
"53511/2","EN14825_011","5.87","4","2","0","2","0"
"53511/2","EN14825_011","4.47","5","2","0","2","0"
"53511/2","EN14825_011","5.03","4","3","0","2","0"
"53511/2","EN14825_011","3.76","5","3","0","2","0"
"53511/2","EN14825_048","0.900","4","1","0","2","0"
"53511/2","EN14825_048","0.900","5","1","0","2","0"
"53511/2","EN14825_048","0.900","4","2","0","2","0"
"53511/2","EN14825_048","0.900","5","2","0","2","0"
"53511/2","EN14825_048","0.900","4","3","0","2","0"
"53511/2","EN14825_048","0.900","5","3","0","2","0"
"53511/2","EN14825_012","35.05","4","1","0","2","0"
"53511/2","EN14825_012","31.51","5","1","0","2","0"
"53511/2","EN14825_012","18.64","4","2","0","2","0"
"53511/2","EN14825_012","18.23","5","2","0","2","0"
"53511/2","EN14825_012","18.52","4","3","0","2","0"
"53511/2","EN14825_012","17.41","5","3","0","2","0"
"53511/2","EN14825_013","4.69","4","1","0","2","0"
"53511/2","EN14825_013","3.33","5","1","0","2","0"
"53511/2","EN14825_013","6.41","4","2","0","2","0"
"53511/2","EN14825_013","5.17","5","2","0","2","0"
"53511/2","EN14825_013","6.01","4","3","0","2","0"
"53511/2","EN14825_013","4.62","5","3","0","2","0"
"53511/2","EN14825_049","0.900","4","1","0","2","0"
"53511/2","EN14825_049","0.900","5","1","0","2","0"
"53511/2","EN14825_049","0.900","4","2","0","2","0"
"53511/2","EN14825_049","0.900","5","2","0","2","0"
"53511/2","EN14825_049","0.900","4","3","0","2","0"
"53511/2","EN14825_049","0.900","5","3","0","2","0"
"53511/2","EN14825_014","18.58","4","1","0","2","0"
"53511/2","EN14825_014","18.11","5","1","0","2","0"
"53511/2","EN14825_014","18.69","4","2","0","2","0"
"53511/2","EN14825_014","18.47","5","2","0","2","0"
"53511/2","EN14825_014","18.69","4","3","0","2","0"
"53511/2","EN14825_014","18.35","5","3","0","2","0"
"53511/2","EN14825_015","6.21","4","1","0","2","0"
"53511/2","EN14825_015","4.88","5","1","0","2","0"
"53511/2","EN14825_015","6.62","4","2","0","2","0"
"53511/2","EN14825_015","5.83","5","2","0","2","0"
"53511/2","EN14825_015","6.62","4","3","0","2","0"
"53511/2","EN14825_015","5.49","5","3","0","2","0"
"53511/2","EN14825_050","0.900","4","1","0","2","0"
"53511/2","EN14825_050","0.900","5","1","0","2","0"
"53511/2","EN14825_050","0.900","4","2","0","2","0"
"53511/2","EN14825_050","0.900","5","2","0","2","0"
"53511/2","EN14825_050","0.900","4","3","0","2","0"
"53511/2","EN14825_050","0.900","5","3","0","2","0"
"53511/2","EN14825_016","54.74","4","1","0","2","0"
"53511/2","EN14825_016","51.11","5","1","0","2","0"
"53511/2","EN14825_016","54.74","4","2","0","2","0"
"53511/2","EN14825_016","51.11","5","2","0","2","0"
"53511/2","EN14825_016","54.74","4","3","0","2","0"
"53511/2","EN14825_016","51.11","5","3","0","2","0"
"53511/2","EN14825_017","3.69","4","1","0","2","0"
"53511/2","EN14825_017","2.50","5","1","0","2","0"
"53511/2","EN14825_017","3.69","4","2","0","2","0"
"53511/2","EN14825_017","2.50","5","2","0","2","0"
"53511/2","EN14825_017","3.69","4","3","0","2","0"
"53511/2","EN14825_017","2.50","5","3","0","2","0"
"53511/2","EN14825_018","54.74","4","1","0","2","0"
"53511/2","EN14825_018","51.11","5","1","0","2","0"
"53511/2","EN14825_018","54.74","4","2","0","2","0"
"53511/2","EN14825_018","51.11","5","2","0","2","0"
"53511/2","EN14825_018","54.74","4","3","0","2","0"
"53511/2","EN14825_018","51.11","5","3","0","2","0"
"53511/2","EN14825_019","3.69","4","1","0","2","0"
"53511/2","EN14825_019","2.50","5","1","0","2","0"
"53511/2","EN14825_019","3.69","4","2","0","2","0"
"53511/2","EN14825_019","2.50","5","2","0","2","0"
"53511/2","EN14825_019","3.69","4","3","0","2","0"
"53511/2","EN14825_019","2.50","5","3","0","2","0"
"53511/2","EN14825_022","60","4","1","0","2","0"
"53511/2","EN14825_022","60","5","1","0","2","0"
"53511/2","EN14825_022","60","4","2","0","2","0"
"53511/2","EN14825_022","60","5","2","0","2","0"
"53511/2","EN14825_022","60","4","3","0","2","0"
"53511/2","EN14825_022","60","5","3","0","2","0"
"53511/2","EN14825_023","20","4","1","0","2","0"
"53511/2","EN14825_023","20","5","1","0","2","0"
"53511/2","EN14825_023","20","4","2","0","2","0"
"53511/2","EN14825_023","20","5","2","0","2","0"
"53511/2","EN14825_023","20","4","3","0","2","0"
"53511/2","EN14825_023","20","5","3","0","2","0"
"53511/2","EN14825_024","20","4","1","0","2","0"
"53511/2","EN14825_024","20","5","1","0","2","0"
"53511/2","EN14825_024","20","4","2","0","2","0"
"53511/2","EN14825_024","20","5","2","0","2","0"
"53511/2","EN14825_024","20","4","3","0","2","0"
"53511/2","EN14825_024","20","5","3","0","2","0"
"53511/2","EN14825_025","20","4","1","0","2","0"
"53511/2","EN14825_025","20","5","1","0","2","0"
"53511/2","EN14825_025","20","4","2","0","2","0"
"53511/2","EN14825_025","20","5","2","0","2","0"
"53511/2","EN14825_025","20","4","3","0","2","0"
"53511/2","EN14825_025","20","5","3","0","2","0"
"53511/2","EN14825_026","0","4","1","0","2","0"
"53511/2","EN14825_026","0","5","1","0","2","0"
"53511/2","EN14825_026","0","4","2","0","2","0"
"53511/2","EN14825_026","0","5","2","0","2","0"
"53511/2","EN14825_026","0","4","3","0","2","0"
"53511/2","EN14825_026","0","5","3","0","2","0"
"53511/2","EN14825_027","1","4","1","0","2","0"
"53511/2","EN14825_027","1","5","1","0","2","0"
"53511/2","EN14825_027","1","4","2","0","2","0"
"53511/2","EN14825_027","1","5","2","0","2","0"
"53511/2","EN14825_027","1","4","3","0","2","0"
"53511/2","EN14825_027","1","5","3","0","2","0"
"53511/2","EN14825_028","0.00","4","1","0","2","0"
"53511/2","EN14825_028","0.00","5","1","0","2","0"
"53511/2","EN14825_028","0.00","4","2","0","2","0"
"53511/2","EN14825_028","0.00","5","2","0","2","0"
"53511/2","EN14825_028","0.00","4","3","0","2","0"
"53511/2","EN14825_028","0.00","5","3","0","2","0"
"53511/2","EN14825_029","14086","4","1","0","2","0"
"53511/2","EN14825_029","17608","5","1","0","2","0"
"53511/2","EN14825_029","25405","4","2","0","2","0"
"53511/2","EN14825_029","31580","5","2","0","2","0"
"53511/2","EN14825_029","22265","4","3","0","2","0"
"53511/2","EN14825_029","27647","5","3","0","2","0"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","6,000 kg","0","0","0","0"
"","Date","19.11.2024","0","0","0","0"
"","Manufacturer"," Ecoforest Geotermia S.L.","0","0","0","0"
"","Modelname","ecoGEO+ HP1 400 15-60","0","0","0","0"
"","Type","Brine/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
