"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","title","MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","application","3","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","indoor","1","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","outdoor","1","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","coolingMode7c12c","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","coolingMode18c23c","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","colderClimate","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","warmerClimate","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","reversibility","1","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","colderForHeating","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","warmerForHeating","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","en145112Certification","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","heatSource","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","additionalOutdoorAir","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","additionalExhaustAir","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","additionalIndoorAir","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","powerSupply","1","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","offPeakProduct","0","0","0","0","1","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_001","7.2","4","10","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_001","6.8","5","10","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_002","1.89","4","10","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_002","3.02","5","10","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_003","3.8","4","10","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_003","2.25","5","10","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_4_003","2","0","10","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_4_004","2","0","10","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_4_005","2","0","10","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_4_006","2","0","10","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN12102_1_001","40","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN12102_1_001","40","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN12102_1_002","66","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN12102_1_002","66","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_001","151","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_001","110","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_002","8","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_002","6.4","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_003","3.85","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_003","2.83","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_004","-7","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_004","-7","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_005","-10","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_005","-10","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_008","6.9","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_008","5.9","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_009","2.37","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_009","1.68","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_047","0.9","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_047","0.9","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_010","4.4","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_010","3.53","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_011","3.99","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_011","2.9","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_048","0.9","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_048","0.9","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_012","2.78","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_012","2.43","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_013","4.14","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_013","4.14","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_049","0.9","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_049","0.9","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_014","2.56","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_014","2.32","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_015","5.57","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_015","5.57","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_050","0.9","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_050","0.9","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_016","6.9","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_016","5.9","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_017","2.37","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_017","1.68","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_018","7.1","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_018","6.56","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_019","2.17","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_019","1.64","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_022","60","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_022","60","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_023","0","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_023","0","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_024","0","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_024","0","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_025","0","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_025","0","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_026","0","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_026","0","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_027","1","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_027","1","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_028","0.9","4","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_028","0","5","3","0","2","0"
"MDV-V80WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_029","4246","4","3","0","2","0"
