manufacturer_name,model_name,variant_name,0_10_0_0__EN14511_4_003,0_10_0_0__EN14511_4_004,0_10_0_0__EN14511_4_005,0_10_0_0__EN14511_4_006,4_10_0_0__EN14511_2_001,4_10_0_0__EN14511_2_002,4_10_0_0__EN14511_2_003,4_1_0_0__EN12102_1_002,4_1_0_0__EN14825_001,4_1_0_0__EN14825_002,4_1_0_0__EN14825_003,4_1_0_0__EN14825_004,4_1_0_0__EN14825_005,4_1_0_0__EN14825_010,4_1_0_0__EN14825_011,4_1_0_0__EN14825_012,4_1_0_0__EN14825_013,4_1_0_0__EN14825_014,4_1_0_0__EN14825_015,4_1_0_0__EN14825_016,4_1_0_0__EN14825_017,4_1_0_0__EN14825_018,4_1_0_0__EN14825_019,4_1_0_0__EN14825_022,4_1_0_0__EN14825_023,4_1_0_0__EN14825_024,4_1_0_0__EN14825_025,4_1_0_0__EN14825_026,4_1_0_0__EN14825_027,4_1_0_0__EN14825_028,4_1_0_0__EN14825_029,4_1_0_0__EN14825_048,4_1_0_0__EN14825_049,4_1_0_0__EN14825_050,4_2_0_0__EN12102_1_002,4_2_0_0__EN14825_001,4_2_0_0__EN14825_002,4_2_0_0__EN14825_003,4_2_0_0__EN14825_004,4_2_0_0__EN14825_005,4_2_0_0__EN14825_008,4_2_0_0__EN14825_009,4_2_0_0__EN14825_010,4_2_0_0__EN14825_011,4_2_0_0__EN14825_012,4_2_0_0__EN14825_013,4_2_0_0__EN14825_014,4_2_0_0__EN14825_015,4_2_0_0__EN14825_016,4_2_0_0__EN14825_017,4_2_0_0__EN14825_018,4_2_0_0__EN14825_019,4_2_0_0__EN14825_022,4_2_0_0__EN14825_023,4_2_0_0__EN14825_024,4_2_0_0__EN14825_025,4_2_0_0__EN14825_026,4_2_0_0__EN14825_027,4_2_0_0__EN14825_028,4_2_0_0__EN14825_029,4_2_0_0__EN14825_044,4_2_0_0__EN14825_045,4_2_0_0__EN14825_047,4_2_0_0__EN14825_048,4_2_0_0__EN14825_049,4_2_0_0__EN14825_050,4_2_0_0__EN14825_051,4_3_0_0__EN12102_1_002,4_3_0_0__EN14825_001,4_3_0_0__EN14825_002,4_3_0_0__EN14825_003,4_3_0_0__EN14825_004,4_3_0_0__EN14825_005,4_3_0_0__EN14825_008,4_3_0_0__EN14825_009,4_3_0_0__EN14825_010,4_3_0_0__EN14825_011,4_3_0_0__EN14825_012,4_3_0_0__EN14825_013,4_3_0_0__EN14825_014,4_3_0_0__EN14825_015,4_3_0_0__EN14825_016,4_3_0_0__EN14825_017,4_3_0_0__EN14825_018,4_3_0_0__EN14825_019,4_3_0_0__EN14825_022,4_3_0_0__EN14825_023,4_3_0_0__EN14825_024,4_3_0_0__EN14825_025,4_3_0_0__EN14825_026,4_3_0_0__EN14825_027,4_3_0_0__EN14825_028,4_3_0_0__EN14825_029,4_3_0_0__EN14825_047,4_3_0_0__EN14825_048,4_3_0_0__EN14825_049,4_3_0_0__EN14825_050,5_10_0_0__EN14511_2_001,5_10_0_0__EN14511_2_002,5_10_0_0__EN14511_2_003,5_1_0_0__EN12102_1_002,5_1_0_0__EN14825_001,5_1_0_0__EN14825_002,5_1_0_0__EN14825_003,5_1_0_0__EN14825_004,5_1_0_0__EN14825_005,5_1_0_0__EN14825_010,5_1_0_0__EN14825_011,5_1_0_0__EN14825_012,5_1_0_0__EN14825_013,5_1_0_0__EN14825_014,5_1_0_0__EN14825_015,5_1_0_0__EN14825_016,5_1_0_0__EN14825_017,5_1_0_0__EN14825_018,5_1_0_0__EN14825_019,5_1_0_0__EN14825_022,5_1_0_0__EN14825_023,5_1_0_0__EN14825_024,5_1_0_0__EN14825_025,5_1_0_0__EN14825_026,5_1_0_0__EN14825_027,5_1_0_0__EN14825_028,5_1_0_0__EN14825_029,5_1_0_0__EN14825_048,5_1_0_0__EN14825_049,5_1_0_0__EN14825_050,5_2_0_0__EN12102_1_002,5_2_0_0__EN14825_001,5_2_0_0__EN14825_002,5_2_0_0__EN14825_003,5_2_0_0__EN14825_004,5_2_0_0__EN14825_005,5_2_0_0__EN14825_008,5_2_0_0__EN14825_009,5_2_0_0__EN14825_010,5_2_0_0__EN14825_011,5_2_0_0__EN14825_012,5_2_0_0__EN14825_013,5_2_0_0__EN14825_014,5_2_0_0__EN14825_015,5_2_0_0__EN14825_016,5_2_0_0__EN14825_017,5_2_0_0__EN14825_018,5_2_0_0__EN14825_019,5_2_0_0__EN14825_022,5_2_0_0__EN14825_023,5_2_0_0__EN14825_024,5_2_0_0__EN14825_025,5_2_0_0__EN14825_026,5_2_0_0__EN14825_027,5_2_0_0__EN14825_028,5_2_0_0__EN14825_029,5_2_0_0__EN14825_044,5_2_0_0__EN14825_045,5_2_0_0__EN14825_047,5_2_0_0__EN14825_048,5_2_0_0__EN14825_049,5_2_0_0__EN14825_050,5_2_0_0__EN14825_051,5_3_0_0__EN12102_1_002,5_3_0_0__EN14825_001,5_3_0_0__EN14825_002,5_3_0_0__EN14825_003,5_3_0_0__EN14825_004,5_3_0_0__EN14825_005,5_3_0_0__EN14825_008,5_3_0_0__EN14825_009,5_3_0_0__EN14825_010,5_3_0_0__EN14825_011,5_3_0_0__EN14825_012,5_3_0_0__EN14825_013,5_3_0_0__EN14825_014,5_3_0_0__EN14825_015,5_3_0_0__EN14825_016,5_3_0_0__EN14825_017,5_3_0_0__EN14825_018,5_3_0_0__EN14825_019,5_3_0_0__EN14825_022,5_3_0_0__EN14825_023,5_3_0_0__EN14825_024,5_3_0_0__EN14825_025,5_3_0_0__EN14825_026,5_3_0_0__EN14825_027,5_3_0_0__EN14825_028,5_3_0_0__EN14825_029,5_3_0_0__EN14825_047,5_3_0_0__EN14825_048,5_3_0_0__EN14825_049,5_3_0_0__EN14825_050
HEIWA France,Hyoko Max 8-10 kW,HHMP100MV2,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
Ferroli S.p.A.,Lamborghini Idola M 3.2 8-10,Idola M 3.2 10,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
Klima-Therm Sp. z o.o,KHA KHC 08 / 10,KHC-10RY…,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
Frigicoll,Aquantia PRO 8 - 10,KHP-MO 10 DVR2,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
Immergas S.p.A.,M thermal A series 8 10 kW,MAGIS M10,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
"GD Midea Heating & Ventilating Equipment Co., Ltd.",M thermal A series 8 10 kW,MHC-V10W/D2N8-B****,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
BDR Thermea FR (DE DIETRICH),MONO AWHP2R 8/10,MONO AWHP2R 10 MR,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
BDR Thermea FR (DE DIETRICH),Mono 2 AWHP 8/10,Mono 2 AWHP 10MR,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
Ferroli S.p.A.,Ferroli Omnia M 3.2 8-10,Omnia M 3.2 10,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
BAXI Climatización S.L.U,Platinum BC Plus Monobloc 8 10,Platinum BC Plus Monobloc 10 MR-2,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
Galmet Sp. z o.o. Sp. K.,Prima 8-10GT,Prima 10GT,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WLW156-8/10 MB,WLW156-10 MB AR,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
Clivet s.p.a.,Edge EVO 4.1 5.1 EXC,WiSAN-YME 1 S 5.1,2.0,2.0,2.0,2.0,10.0,2.02,4.95,60.0,279.0,8.58,7.12,7.0,2.0,8.44,3.84,5.52,6.18,2.62,9.04,5.52,6.18,8.44,3.84,65.0,14.0,24.0,14.0,0.0,1.0,0.14,1628.0,0.9,0.9,0.9,60.0,170.0,7.75,4.32,-15.0,-22.0,4.83,3.6,2.94,5.26,1.92,7.08,1.66,7.96,6.32,2.64,4.63,1.97,65.0,14.0,24.0,14.0,0.0,1.0,3.13,4424.0,6.32,2.64,0.9,0.9,0.9,0.9,0.9,60.0,205.0,9.17,5.19,-7.0,-10.0,8.11,3.23,5.18,5.01,3.32,7.08,1.65,8.58,8.11,3.23,7.4,2.96,65.0,14.0,24.0,14.0,0.0,1.0,1.76,3647.0,0.9,0.9,0.9,0.9,9.5,3.06,3.1,60.0,180.0,8.63,4.58,7.0,2.0,8.06,2.59,5.55,4.1,2.53,5.82,5.55,4.1,8.16,2.61,65.0,14.0,24.0,14.0,0.0,1.0,0.48,2516.0,0.9,0.9,0.9,60.0,116.0,6.71,2.99,-15.0,-22.0,4.27,2.54,2.57,3.51,1.66,4.37,1.48,5.96,5.48,2.0,2.8,1.22,65.0,14.0,24.0,14.0,0.0,1.0,3.91,5540.0,5.48,2.0,0.9,0.9,0.9,0.9,0.9,60.0,137.0,7.67,3.49,-7.0,-10.0,6.78,2.24,4.29,3.42,2.77,4.52,1.58,5.68,6.78,2.24,5.39,1.83,65.0,14.0,24.0,14.0,0.0,1.0,2.28,4539.0,0.9,0.9,0.9,0.9
